ccyy,tot_inc,tot_L,tot_K,tot_S,tot_IR,b50_L,b50_K,b50_S,b50_IR,m40_L,m40_K,m40_S,m40_IR,t10_L,t10_K,t10_S,t10_IR,t1_L,t1_K,t1_S,t1_IR,defl,totw,mean_toti,nprs,waven
ca91,3.832e+11,3.586e+11,2.461e+10,2.593e+10,0,5.045e+10,9.511e+09,3.701e+09,0,2.075e+11,8.488e+09,1.040e+10,0,1.006e+11,6.614e+09,1.183e+10,0,1.983e+10,3.171e+09,4.547e+09,0,1,10116458,37882.327,2.6552992,3
ca94,4.234e+11,4.047e+11,1.867e+10,2.989e+10,0,4.992e+10,6.915e+09,4.647e+09,0,2.385e+11,6.571e+09,1.335e+10,0,1.163e+11,5.180e+09,1.189e+10,0,2.231e+10,2.199e+09,4.887e+09,0,1,11243615,37656.464,2.5609572,4
ca97,4.700e+11,4.511e+11,1.891e+10,3.902e+10,0,5.409e+10,7.212e+09,5.685e+09,0,2.659e+11,6.076e+09,1.751e+10,0,1.311e+11,5.626e+09,1.583e+10,0,2.527e+10,2.495e+09,6.146e+09,0,1,11807761,39807.038,2.5249436,4
ca98,4.673e+11,4.456e+11,2.171e+10,3.360e+10,0,4.393e+10,7.334e+09,3.752e+09,0,2.583e+11,6.739e+09,1.444e+10,0,1.434e+11,7.641e+09,1.541e+10,0,3.351e+10,4.440e+09,6.684e+09,0,1,11438997,40852.158,2.5630672,5
ch00,2.367e+11,2.183e+11,1.835e+10,2.178e+10,0,3.782e+10,7.070e+09,5.841e+09,0,1.232e+11,4.456e+09,1.009e+10,0,5.728e+10,6.828e+09,5.854e+09,0,1.242e+10,3.704e+09,1.977e+09,0,1,2999771.5,78895.913,2.3107927,5
ch02,2.500e+11,2.336e+11,1.646e+10,3.214e+10,0,3.762e+10,7.941e+09,6.167e+09,0,1.350e+11,4.026e+09,1.601e+10,0,6.098e+10,4.496e+09,9.967e+09,0,1.246e+10,2.028e+09,4.735e+09,0,1,3049510.8,81990.129,2.3019416,5
ch04,2.458e+11,2.326e+11,1.319e+10,2.413e+10,0,3.722e+10,6.017e+09,6.288e+09,0,1.361e+11,3.203e+09,9.443e+09,0,5.928e+10,3.972e+09,8.397e+09,0,1.085e+10,1.889e+09,2.728e+09,0,1,3155045.3,77907.632,2.2531598,6
ch07,3.022e+11,2.838e+11,1.838e+10,3.309e+10,2.442e+10,4.650e+10,5.250e+09,5.455e+09,9.421e+09,1.574e+11,5.887e+09,1.446e+10,1.108e+10,7.984e+10,7.247e+09,1.317e+10,3.920e+09,1.985e+10,2.736e+09,5.887e+09,6.245e+08,1,3193694,94611.36,2.3073885,7
ch10,3.241e+11,3.044e+11,1.965e+10,2.140e+10,1.008e+10,4.807e+10,5.500e+09,3.806e+09,5.201e+09,1.711e+11,5.472e+09,1.013e+10,3.690e+09,8.523e+10,8.673e+09,7.463e+09,1.188e+09,2.018e+10,3.561e+09,1.701e+09,1.654e+08,1,3332510.5,97250.102,2.2864683,8
ch13,3.489e+11,3.284e+11,2.042e+10,2.896e+10,1.414e+10,4.946e+10,5.942e+09,5.385e+09,6.629e+09,1.812e+11,7.595e+09,1.196e+10,5.575e+09,9.776e+10,6.887e+09,1.162e+10,1.933e+09,2.305e+10,2.596e+09,3.216e+09,1.734e+08,1,3641975.3,95787.455,2.2022245,9
ch82,1.499e+11,1.358e+11,1.410e+10,1.733e+10,1.328e+10,2.179e+10,4.111e+09,4.489e+08,3.188e+09,7.142e+10,3.846e+09,3.913e+09,4.515e+09,4.257e+10,6.145e+09,1.297e+10,5.583e+09,1.237e+10,3.431e+09,5.193e+09,2.462e+09,1,3128149,47915.46,1.9794924,1
ch92,1.986e+11,1.665e+11,3.204e+10,1.910e+10,8.492e+09,2.553e+10,8.014e+09,2.822e+09,2.379e+09,9.732e+10,8.530e+09,7.107e+09,3.710e+09,4.368e+10,1.549e+10,9.174e+09,2.402e+09,7.099e+09,8.612e+09,3.431e+09,3.146e+08,1,3004986,66079.497,2.3279467,3
cl00,1.663e+13,1.602e+13,6.125e+11,4.163e+12,3.258e+12,1.993e+12,6.104e+10,4.957e+11,1.189e+12,6.963e+12,1.833e+11,1.381e+12,1.317e+12,7.063e+12,3.682e+11,2.286e+12,7.522e+11,2.168e+12,1.972e+11,9.192e+11,1.376e+11,1,3901619.3,4262911.1,3.8734403,5
cl03,1.859e+13,1.799e+13,5.975e+11,4.738e+12,3.575e+12,2.355e+12,7.039e+10,6.305e+11,1.269e+12,8.149e+12,1.633e+11,1.537e+12,1.433e+12,7.491e+12,3.638e+11,2.570e+12,8.732e+11,2.199e+12,1.671e+11,1.057e+12,2.134e+11,1,4130418.8,4501270,3.7864978,6
cl06,2.268e+13,2.199e+13,6.879e+11,5.458e+12,3.714e+12,3.111e+12,8.155e+10,7.242e+11,1.398e+12,1.033e+13,2.132e+11,2.070e+12,1.539e+12,8.556e+12,3.931e+11,2.664e+12,7.772e+11,2.234e+12,2.217e+11,1.049e+12,1.668e+11,1,4337081.5,5229649.2,3.724257,7
cl09,2.795e+13,2.702e+13,9.369e+11,6.431e+12,4.733e+12,3.461e+12,8.101e+10,8.626e+11,1.824e+12,1.255e+13,2.602e+11,2.349e+12,1.873e+12,1.100e+13,5.956e+11,3.220e+12,1.036e+12,2.850e+12,3.841e+11,1.412e+12,2.683e+11,1,4685490,5965838.3,3.544348,8
cl11,3.156e+13,3.087e+13,6.894e+11,6.357e+12,5.248e+12,4.029e+12,8.981e+10,8.995e+11,2.057e+12,1.448e+13,2.284e+11,2.394e+12,2.011e+12,1.236e+13,3.712e+11,3.063e+12,1.180e+12,3.336e+12,1.025e+11,1.003e+12,2.756e+11,1,4966890,6354641.7,3.415118,8
cl13,4.078e+13,3.990e+13,8.768e+11,8.007e+12,7.122e+12,5.259e+12,1.127e+11,1.177e+12,2.818e+12,1.884e+13,2.483e+11,3.217e+12,2.814e+12,1.580e+13,5.158e+11,3.613e+12,1.490e+12,4.293e+12,1.795e+11,1.316e+12,3.075e+11,1,5273828,7731861.7,3.2752523,9
cl15,4.515e+13,4.386e+13,1.289e+12,8.827e+12,1.023e+13,5.538e+12,1.649e+11,1.279e+12,4.477e+12,2.078e+13,3.556e+11,3.363e+12,3.795e+12,1.755e+13,7.683e+11,4.184e+12,1.961e+12,4.720e+12,3.614e+11,1.617e+12,4.454e+11,1,5454914,8276755.4,3.2177417,10
cl90,3.306e+12,3.211e+12,9.403e+10,1.004e+12,6.980e+11,4.206e+11,9.659e+09,1.262e+11,2.236e+11,1.422e+12,2.750e+10,3.490e+11,2.904e+11,1.369e+12,5.688e+10,5.292e+11,1.841e+11,3.998e+11,1.950e+10,2.322e+11,3.562e+10,1,3180536,1039293.4,4.0739999,3
cl92,5.975e+12,5.784e+12,1.907e+11,1.783e+12,1.218e+12,7.943e+11,1.708e+10,2.286e+11,3.960e+11,2.545e+12,5.731e+10,6.246e+11,4.912e+11,2.444e+12,1.163e+11,9.296e+11,3.303e+11,7.414e+11,5.441e+10,3.687e+11,8.377e+10,1,3387757,1763632.3,3.9727237,3
cl94,8.805e+12,8.541e+12,2.634e+11,2.188e+12,1.893e+12,1.084e+12,2.419e+10,3.007e+11,6.537e+11,3.871e+12,9.718e+10,7.292e+11,7.962e+11,3.586e+12,1.421e+11,1.158e+12,4.434e+11,1.080e+12,4.469e+10,5.889e+11,8.366e+10,1,3556009,2476010.1,3.9073668,4
cl96,1.177e+13,1.139e+13,3.810e+11,3.100e+12,2.382e+12,1.556e+12,3.853e+10,3.828e+11,7.942e+11,5.187e+12,1.313e+11,1.081e+12,1.008e+12,4.645e+12,2.112e+11,1.637e+12,5.805e+11,1.269e+12,9.835e+10,5.621e+11,1.371e+11,1,3623448,3248002.7,3.9702601,4
cl98,1.439e+13,1.390e+13,4.956e+11,3.700e+12,2.860e+12,1.862e+12,4.409e+10,4.448e+11,1.018e+12,6.301e+12,1.483e+11,1.329e+12,1.190e+12,5.733e+12,3.032e+11,1.927e+12,6.520e+11,1.600e+12,1.387e+11,6.999e+11,1.227e+11,1,3777035.8,3810057.2,3.9092746,5
cz02,8.521e+11,8.440e+11,8.101e+09,1.687e+11,0,9.355e+10,1.215e+09,1.578e+10,0,4.854e+11,4.055e+09,7.837e+10,0,2.651e+11,2.830e+09,7.452e+10,0,5.828e+10,7.513e+08,2.997e+10,0,1,4053811,210202.66,2.5133548,5
cz04,9.658e+11,9.547e+11,1.104e+10,1.972e+11,0,1.035e+11,1.890e+09,1.586e+10,0,5.488e+11,3.609e+09,8.672e+10,0,3.025e+11,5.544e+09,9.466e+10,0,7.330e+10,1.668e+09,4.193e+10,0,1,4012695.3,240679.46,2.5241146,6
cz07,1.214e+12,1.200e+12,1.359e+10,2.371e+11,2.651e+10,1.370e+11,2.249e+09,2.207e+10,1.088e+10,6.974e+11,3.514e+09,1.030e+11,1.165e+10,3.656e+11,7.828e+09,1.120e+11,3.969e+09,7.793e+10,4.351e+09,4.685e+10,6.246e+08,1,4081852.3,297297.78,2.5058749,7
cz10,1.338e+12,1.324e+12,1.379e+10,2.482e+11,1.116e+10,1.535e+11,2.705e+09,3.055e+10,4.685e+09,7.734e+11,5.198e+09,1.204e+11,4.735e+09,3.969e+11,5.888e+09,9.719e+10,1.743e+09,7.928e+10,2.128e+09,3.049e+10,3.080e+08,1,4180620.3,319962.53,2.4959354,8
cz13,1.403e+12,1.384e+12,1.891e+10,2.533e+11,1.957e+10,1.461e+11,2.979e+09,3.093e+10,7.776e+09,8.025e+11,6.697e+09,1.160e+11,8.525e+09,4.354e+11,9.238e+09,1.064e+11,3.270e+09,9.584e+10,3.327e+09,3.315e+10,4.412e+08,1,4304496.5,325905.68,2.3964288,9
cz92,2.716e+11,2.704e+11,1.273e+09,2.888e+10,0,3.752e+10,2.253e+08,2.016e+09,0,1.600e+11,2.542e+08,1.184e+10,0,7.283e+10,7.931e+08,1.503e+10,0,1.527e+10,3.692e+08,6.299e+09,0,1,3836040.3,70809.576,2.6542904,3
cz96,6.139e+11,6.079e+11,5.998e+09,8.930e+10,0,7.995e+10,8.979e+08,7.485e+09,0,3.488e+11,1.820e+09,3.584e+10,0,1.792e+11,3.280e+09,4.597e+10,0,3.995e+10,1.417e+09,2.075e+10,0,1,3822366,160615.2,2.6637721,4
de00,2.164e+12,2.055e+12,1.087e+11,2.506e+11,1.052e+11,1.886e+11,2.798e+10,1.521e+10,5.093e+10,1.236e+12,3.636e+10,1.022e+11,3.779e+10,6.299e+11,4.433e+10,1.332e+11,1.652e+10,1.241e+11,1.901e+10,5.852e+10,3.106e+09,1,38953728,55541.323,2.1345963,5
de01,2.215e+12,2.079e+12,1.359e+11,2.472e+11,1.178e+11,1.795e+11,3.279e+10,1.337e+10,5.752e+10,1.234e+12,4.064e+10,8.518e+10,4.024e+10,6.662e+11,6.250e+10,1.486e+11,2.005e+10,1.425e+11,3.214e+10,6.785e+10,3.948e+09,1,39197676,56519.337,2.1249619,5
de02,1.151e+12,1.084e+12,6.721e+10,1.247e+11,5.838e+10,8.535e+10,1.716e+10,5.243e+09,2.838e+10,6.542e+11,2.114e+10,4.587e+10,1.914e+10,3.446e+11,2.891e+10,7.357e+10,1.087e+10,7.120e+10,1.378e+10,3.011e+10,1.910e+09,1,39415532,29210.493,2.1148713,5
de03,1.151e+12,1.078e+12,7.306e+10,1.216e+11,6.057e+10,7.924e+10,1.330e+10,6.358e+09,2.980e+10,6.522e+11,1.879e+10,4.869e+10,2.100e+10,3.463e+11,4.097e+10,6.654e+10,9.770e+09,7.171e+10,2.715e+10,2.702e+10,1.834e+09,1,39604728,29056.972,2.1023386,6
de04,1.152e+12,1.077e+12,7.540e+10,1.145e+11,5.781e+10,7.725e+10,1.649e+10,7.117e+09,2.804e+10,6.540e+11,2.036e+10,4.478e+10,1.995e+10,3.453e+11,3.855e+10,6.258e+10,9.824e+09,6.971e+10,2.334e+10,2.215e+10,1.852e+09,1,39672688,29036.789,2.094286,6
de05,1.162e+12,1.086e+12,7.582e+10,1.285e+11,6.010e+10,6.745e+10,1.653e+10,5.799e+09,2.899e+10,6.488e+11,2.178e+10,4.426e+10,2.153e+10,3.698e+11,3.751e+10,7.847e+10,9.579e+09,8.262e+10,2.248e+10,4.059e+10,1.945e+09,1,40208992,28895.883,2.0651312,6
de06,1.182e+12,1.105e+12,7.655e+10,1.246e+11,6.408e+10,6.802e+10,1.665e+10,6.238e+09,3.046e+10,6.649e+11,2.540e+10,4.760e+10,2.335e+10,3.723e+11,3.450e+10,7.079e+10,1.027e+10,7.687e+10,2.028e+10,3.339e+10,1.892e+09,1,40182524,29409.168,2.0609639,7
de07,1.225e+12,1.135e+12,9.013e+10,1.143e+11,6.609e+10,6.827e+10,1.796e+10,4.939e+09,3.215e+10,6.824e+11,2.354e+10,4.441e+10,2.360e+10,3.839e+11,4.864e+10,6.498e+10,1.034e+10,7.777e+10,3.205e+10,2.548e+10,1.629e+09,1,40554568,30197.727,2.0401912,7
de08,1.261e+12,1.182e+12,7.872e+10,1.231e+11,6.930e+10,7.483e+10,2.068e+10,7.417e+09,3.439e+10,7.064e+11,2.221e+10,4.302e+10,2.452e+10,4.007e+11,3.583e+10,7.266e+10,1.039e+10,8.810e+10,2.048e+10,3.701e+10,1.920e+09,1,40647152,31014.348,2.0282879,7
de09,1.238e+12,1.164e+12,7.493e+10,1.167e+11,7.463e+10,6.842e+10,1.943e+10,5.278e+09,3.683e+10,6.977e+11,2.597e+10,4.655e+10,2.673e+10,3.974e+11,2.954e+10,6.484e+10,1.106e+10,7.975e+10,1.629e+10,2.952e+10,1.704e+09,1,40765748,30380.452,2.0176256,8
de10,1.238e+12,1.174e+12,6.443e+10,1.183e+11,6.793e+10,7.123e+10,1.678e+10,6.802e+09,3.305e+10,7.031e+11,2.424e+10,5.182e+10,2.401e+10,3.994e+11,2.341e+10,5.971e+10,1.087e+10,8.154e+10,1.223e+10,2.592e+10,1.747e+09,1,39863596,31060.598,2.0213633,8
de11,1.293e+12,1.226e+12,6.762e+10,1.197e+11,8.491e+10,7.879e+10,1.484e+10,7.519e+09,4.011e+10,7.281e+11,2.529e+10,4.944e+10,3.315e+10,4.187e+11,2.748e+10,6.276e+10,1.165e+10,8.914e+10,1.439e+10,2.410e+10,1.753e+09,1,40011220,32320.064,2.0165627,8
de12,1.296e+12,1.230e+12,6.600e+10,1.151e+11,7.607e+10,7.604e+10,1.589e+10,7.165e+09,3.639e+10,7.296e+11,2.388e+10,4.736e+10,2.640e+10,4.245e+11,2.623e+10,6.056e+10,1.328e+10,8.755e+10,1.362e+10,2.957e+10,1.605e+09,1,40280376,32178.691,2.0091851,9
de13,1.335e+12,1.265e+12,7.014e+10,1.204e+11,6.867e+10,7.292e+10,1.502e+10,7.245e+09,3.003e+10,7.507e+11,2.316e+10,5.098e+10,2.501e+10,4.409e+11,3.195e+10,6.213e+10,1.363e+10,9.381e+10,1.993e+10,3.055e+10,2.377e+09,1,40617052,32859.924,2.0028682,9
de14,1.351e+12,1.281e+12,6.932e+10,1.084e+11,7.508e+10,7.506e+10,1.305e+10,6.767e+09,3.419e+10,7.705e+11,2.305e+10,4.945e+10,2.638e+10,4.358e+11,3.322e+10,5.223e+10,1.451e+10,8.177e+10,1.971e+10,2.232e+10,2.380e+09,1,41207320,32777.871,1.9894125,9
de15,1.422e+12,1.342e+12,7.968e+10,1.245e+11,8.638e+10,7.527e+10,1.537e+10,6.138e+09,4.204e+10,7.955e+11,2.800e+10,4.852e+10,3.032e+10,4.713e+11,3.631e+10,6.982e+10,1.402e+10,1.086e+11,2.133e+10,3.515e+10,2.686e+09,1,41542916,34225.345,2.0017173,10
de73,5.622e+11,5.070e+11,5.528e+10,9.486e+10,0,7.545e+10,1.793e+10,9.551e+09,0,2.954e+11,2.314e+10,3.073e+10,0,1.361e+11,1.421e+10,5.458e+10,0,3.072e+10,3.588e+09,2.586e+10,0,1,23857058,23567.436,2.6030605,0
de78,7.776e+11,6.960e+11,8.165e+10,1.296e+11,0,7.300e+10,2.495e+10,1.001e+10,0,4.169e+11,3.539e+10,3.865e+10,0,2.061e+11,2.132e+10,8.097e+10,0,5.075e+10,5.414e+09,4.184e+10,0,1,24985688,31123.143,2.4542716,0
de81,7.677e+11,7.558e+11,1.181e+10,1.015e+11,0,1.030e+11,4.878e+09,7.200e+09,0,4.503e+11,2.615e+09,4.032e+10,0,2.026e+11,4.316e+09,5.401e+10,0,3.990e+10,1.086e+09,2.512e+10,0,1,23135230,33181.13,2.4305379,1
de83,9.726e+11,8.445e+11,1.281e+11,1.039e+11,0,7.946e+10,3.705e+10,6.521e+09,0,5.198e+11,5.627e+10,3.964e+10,0,2.452e+11,3.480e+10,5.778e+10,0,4.971e+10,9.164e+09,2.829e+10,0,1,26255142,37043.294,2.3350346,2
de84,9.316e+11,9.019e+11,2.967e+10,9.727e+10,2.902e+10,9.628e+10,1.076e+09,7.784e+09,1.413e+10,5.406e+11,1.179e+10,3.427e+10,1.140e+10,2.650e+11,1.681e+10,5.522e+10,3.484e+09,5.633e+10,6.652e+09,2.757e+10,6.300e+08,1,26555558,35079.713,2.3044903,2
de87,1.074e+12,1.035e+12,3.897e+10,1.066e+11,3.498e+10,1.078e+11,7.895e+09,8.158e+09,1.755e+10,6.305e+11,1.232e+10,4.470e+10,1.299e+10,2.967e+11,1.875e+10,5.370e+10,4.438e+09,5.839e+10,7.719e+09,2.737e+10,9.946e+08,1,27720998,38740.052,2.2484846,2
de89,1.246e+12,1.197e+12,4.917e+10,1.274e+11,3.954e+10,1.307e+11,9.963e+09,1.022e+10,1.950e+10,7.127e+11,1.610e+10,4.937e+10,1.509e+10,3.538e+11,2.310e+10,6.778e+10,4.954e+09,8.311e+10,1.024e+10,3.431e+10,6.661e+08,1,28623306,43542.12,2.2354515,3
de91,1.581e+12,1.520e+12,6.074e+10,1.252e+11,5.038e+10,1.665e+11,1.178e+10,1.134e+10,2.409e+10,9.099e+11,2.309e+10,5.582e+10,1.874e+10,4.436e+11,2.587e+10,5.801e+10,7.552e+09,7.965e+10,1.321e+10,1.790e+10,1.780e+09,1,36215864,43648.331,2.2458196,3
de94,1.819e+12,1.731e+12,8.827e+10,1.400e+11,7.553e+10,1.638e+11,2.416e+10,1.382e+10,3.923e+10,1.056e+12,2.831e+10,5.573e+10,2.709e+10,5.111e+11,3.580e+10,7.050e+10,9.203e+09,9.509e+10,1.787e+10,2.395e+10,1.643e+09,1,37583460,48397.002,2.2005949,4
de95,1.912e+12,1.824e+12,8.842e+10,1.583e+11,8.169e+10,1.789e+11,1.619e+10,1.319e+10,4.093e+10,1.101e+12,3.225e+10,6.518e+10,3.224e+10,5.432e+11,3.999e+10,7.989e+10,8.514e+09,9.819e+10,2.212e+10,3.474e+10,1.766e+09,1,37993516,50324.514,2.1825647,4
de98,2.040e+12,1.938e+12,1.016e+11,1.767e+11,1.028e+11,1.818e+11,2.147e+10,1.544e+10,5.092e+10,1.181e+12,3.601e+10,9.194e+10,3.708e+10,5.752e+11,4.409e+10,6.935e+10,1.484e+10,1.036e+11,2.382e+10,2.358e+10,2.694e+09,1,38405608,53114.273,2.161586,5
dk00,6.854e+11,6.585e+11,2.689e+10,4.073e+10,5.140e+10,6.234e+10,7.908e+09,1.643e+09,1.437e+10,4.079e+11,6.060e+09,1.986e+10,2.547e+10,1.883e+11,1.292e+10,1.923e+10,1.156e+10,3.403e+10,8.307e+09,7.205e+09,1.984e+09,1,2496588.8,274524.69,2.1378837,5
dk04,7.600e+11,7.338e+11,2.617e+10,4.393e+10,6.418e+10,6.438e+10,7.467e+09,1.050e+09,1.846e+10,4.536e+11,6.342e+09,2.150e+10,3.070e+10,2.159e+11,1.236e+10,2.138e+10,1.502e+10,4.144e+10,7.404e+09,9.600e+09,2.565e+09,1,2547121.3,298373.62,2.1252983,6
dk07,8.969e+11,8.481e+11,4.881e+10,5.203e+10,1.101e+11,8.166e+10,1.043e+10,-8.304e+08,3.146e+10,5.190e+11,1.076e+10,2.362e+10,5.145e+10,2.474e+11,2.762e+10,2.924e+10,2.719e+10,4.804e+10,1.916e+10,1.337e+10,5.199e+09,1,2584718.5,346990.01,2.1219809,7
dk10,9.298e+11,8.926e+11,3.723e+10,4.901e+10,9.279e+10,6.240e+10,8.232e+09,-2.826e+09,2.808e+10,5.452e+11,7.414e+09,2.200e+10,4.245e+10,2.850e+11,2.158e+10,2.984e+10,2.226e+10,6.407e+10,1.542e+10,1.524e+10,4.300e+09,1,2627269,353906.08,2.1048048,8
dk13,9.673e+11,9.301e+11,3.726e+10,5.397e+10,9.241e+10,6.158e+10,7.814e+09,1.179e+09,2.779e+10,5.700e+11,7.936e+09,2.368e+10,4.161e+10,2.985e+11,2.151e+10,2.911e+10,2.301e+10,6.255e+10,1.421e+10,1.316e+10,4.530e+09,1,2649400,365115.64,2.1020145,9
dk87,4.275e+11,4.064e+11,2.109e+10,2.280e+10,1.439e+10,4.082e+10,8.419e+09,-7.406e+08,2.787e+09,2.512e+11,6.391e+09,1.105e+10,7.684e+09,1.144e+11,6.277e+09,1.249e+10,3.921e+09,2.022e+10,3.708e+09,6.335e+09,6.190e+08,1,2493773.8,171433.46,2.0559301,2
dk92,4.960e+11,4.717e+11,2.427e+10,2.710e+10,1.395e+10,3.545e+10,9.852e+09,-2.015e+09,2.692e+09,2.968e+11,6.798e+09,1.155e+10,7.587e+09,1.394e+11,7.620e+09,1.757e+10,3.673e+09,2.478e+10,4.909e+09,8.037e+09,6.580e+08,1,2587602.8,191665.58,1.9985266,3
dk95,5.408e+11,5.153e+11,2.550e+10,3.101e+10,3.031e+10,4.437e+10,6.638e+09,1.431e+09,8.411e+09,3.235e+11,5.236e+09,1.640e+10,1.522e+10,1.475e+11,1.362e+10,1.318e+10,6.677e+09,2.440e+10,9.939e+09,3.716e+09,1.099e+09,1,2419377,223547.6,2.1627929,4
ee00,2.904e+10,2.874e+10,3.023e+08,3.250e+09,5.155e+08,2.787e+09,35722548,6.739e+08,1.828e+08,1.587e+10,40002808,1.776e+09,2.313e+08,1.009e+10,2.266e+08,7.997e+08,1.013e+08,2.229e+09,1.635e+08,2.026e+08,20659764,.98734999,591023.5,49141.356,2.4350927,5
ee04,5.047e+10,5.015e+10,3.175e+08,1.496e+09,0,4.449e+09,31997762,2.048e+08,0,2.791e+10,1.232e+08,6.664e+08,0,1.779e+10,1.623e+08,6.246e+08,0,3.771e+09,45427468,1.591e+08,0,1,559436.06,90342.843,2.3914459,6
