ccyy,totI,tot_L,tot_K,tot_S,t10_L,t10_K,t10_S,t1_L,t1_K,t1_S,defl,totw,mean_toti,nprs
de13,1.789e+12,1.265e+12,7.014e+10,1.204e+11,4.410e+11,3.195e+10,6.224e+10,9.381e+10,1.993e+10,3.055e+10,1,40617052,44048.525,2.0028682,
de14,1.818e+12,1.281e+12,6.932e+10,1.084e+11,4.358e+11,3.322e+10,5.223e+10,8.177e+10,1.971e+10,2.232e+10,1,41207320,44106.679,1.9894125,
de15,1.905e+12,1.342e+12,7.968e+10,1.245e+11,4.713e+11,3.631e+10,6.982e+10,1.086e+11,2.133e+10,3.515e+10,1,41542916,45851.36,2.0017173,
de73,6.901e+11,5.070e+11,5.528e+10,9.486e+10,1.361e+11,1.421e+10,5.458e+10,3.072e+10,3.588e+09,2.586e+10,1,23857058,28927.206,2.6030605,
de78,1.006e+12,6.960e+11,8.165e+10,1.296e+11,2.061e+11,2.132e+10,8.097e+10,5.075e+10,5.414e+09,4.184e+10,1,24985688,40251.509,2.4542716,
de81,9.689e+11,7.558e+11,1.181e+10,1.015e+11,2.026e+11,4.316e+09,5.401e+10,3.990e+10,1.086e+09,2.512e+10,1,23135230,41878.104,2.4305379,
de83,1.300e+12,8.445e+11,1.281e+11,1.039e+11,2.452e+11,3.479e+10,5.777e+10,4.971e+10,9.164e+09,2.829e+10,1,26255142,49507.341,2.3350346,
de84,1.174e+12,9.019e+11,2.967e+10,9.727e+10,2.650e+11,1.681e+10,5.522e+10,5.633e+10,6.652e+09,2.757e+10,1,26555558,44210.137,2.3044903,
de87,1.357e+12,1.035e+12,3.897e+10,1.066e+11,2.967e+11,1.875e+10,5.370e+10,5.839e+10,7.719e+09,2.737e+10,1,27720998,48966.806,2.2484846,
de89,1.563e+12,1.197e+12,4.917e+10,1.274e+11,3.538e+11,2.310e+10,6.778e+10,8.311e+10,1.024e+10,3.431e+10,1,28623306,54612.027,2.2354515,
de91,1.990e+12,1.520e+12,6.074e+10,1.252e+11,4.436e+11,2.587e+10,5.801e+10,7.965e+10,1.321e+10,1.790e+10,1,36215864,54946.339,2.2458196,
de94,2.319e+12,1.731e+12,8.827e+10,1.400e+11,5.111e+11,3.580e+10,7.050e+10,9.509e+10,1.787e+10,2.395e+10,1,37583460,61702.763,2.2005949,
de95,2.446e+12,1.824e+12,8.842e+10,1.583e+11,5.432e+11,3.999e+10,7.989e+10,9.819e+10,2.212e+10,3.474e+10,1,37993516,64372.233,2.1825647,
de98,2.651e+12,1.938e+12,1.016e+11,1.767e+11,5.752e+11,4.409e+10,6.935e+10,1.036e+11,2.382e+10,2.358e+10,1,38405608,69033.71,2.161586,
dk00,9.139e+11,6.585e+11,2.689e+10,4.073e+10,1.883e+11,1.292e+10,1.923e+10,3.403e+10,8.307e+09,7.205e+09,1,2496588.8,366071.87,2.1378837,
dk04,1.032e+12,7.338e+11,2.617e+10,4.393e+10,2.159e+11,1.236e+10,2.138e+10,4.144e+10,7.404e+09,9.600e+09,1,2547121.3,405630.12,2.1252983,
dk07,1.181e+12,8.481e+11,4.881e+10,5.203e+10,2.474e+11,2.762e+10,2.924e+10,4.804e+10,1.916e+10,1.337e+10,1,2584718.5,456873.61,2.1219809,
dk10,1.280e+12,8.926e+11,3.723e+10,4.901e+10,2.850e+11,2.158e+10,2.984e+10,6.407e+10,1.542e+10,1.524e+10,1,2627269,487118.86,2.1048048,
dk13,1.345e+12,9.301e+11,3.726e+10,5.397e+10,2.985e+11,2.151e+10,2.911e+10,6.255e+10,1.421e+10,1.316e+10,1,2649400,507610.37,2.1020145,
dk87,5.554e+11,4.040e+11,2.109e+10,2.280e+10,1.133e+11,6.274e+09,1.279e+10,1.996e+10,3.691e+09,6.237e+09,1,2493773.8,222711.3,2.0559301,
dk92,6.655e+11,4.692e+11,2.427e+10,2.710e+10,1.384e+11,7.485e+09,1.769e+10,2.445e+10,4.892e+09,8.299e+09,1,2587602.8,257181.45,1.9985266,
dk95,7.508e+11,5.153e+11,2.550e+10,3.101e+10,1.475e+11,1.362e+10,1.318e+10,2.440e+10,9.939e+09,3.716e+09,1,2419377,310317.37,2.1627929,
ee00,4.167e+10,2.669e+10,3.023e+08,1.927e+09,9.470e+09,2.270e+08,6.406e+08,1.987e+09,1.767e+08,2.014e+08,.98734999,591023.5,70501.655,2.4350927,
ee04,6.214e+10,4.876e+10,3.175e+08,1.496e+09,1.703e+10,1.609e+08,6.298e+08,3.419e+09,42004756,1.533e+08,1,559436.06,111233.33,2.3914459,
ee07,1.059e+11,8.455e+10,9.254e+08,1.260e+09,2.356e+10,6.156e+08,4.656e+08,0,0,0,1,583991.13,181353.5,2.2770364,
ee10,1.086e+11,8.020e+10,9.020e+08,1.517e+09,2.416e+10,3.164e+08,1.968e+08,0,0,0,1,585242.31,185601.11,2.2695882,
ee13,8.698e+09,6.856e+09,1.033e+08,1.684e+08,2.028e+09,50465444,65215616,1.233e+08,0,-648206.69,1,582070.19,15254.838,2.2392488,
es00,4.785e+13,3.531e+13,1.223e+12,7.483e+12,8.518e+12,3.840e+11,2.720e+12,6.571e+09,4.852e+09,9.497e+09,1,14226772,3496135,2.8851869,
es04,3.375e+11,2.486e+11,7.970e+09,2.565e+10,7.004e+10,3.542e+09,7.731e+09,1.238e+10,1.651e+09,3.303e+09,1,15141301,22289.089,2.8315911,
es07,5.096e+11,3.879e+11,1.356e+10,3.901e+10,1.049e+11,4.422e+09,9.960e+09,5.962e+09,3.559e+08,2.097e+09,1,16580451,30737.254,2.7206416,
es10,5.018e+11,3.510e+11,1.110e+10,3.409e+10,9.725e+10,3.397e+09,1.612e+10,0,0,0,1,17279166,29039.046,2.6563942,
es13,5.744e+11,3.734e+11,3.173e+10,3.760e+10,1.308e+11,9.754e+09,1.310e+10,2.525e+10,2.980e+09,2.853e+09,1,18266464,31447.292,2.5169976,
es80,6.371e+12,5.176e+12,1.100e+11,1.033e+12,1.384e+12,6.549e+10,2.841e+11,2.396e+11,5.025e+10,8.959e+10,1,9779941,652243.4,3.7016418,
es85,1.135e+13,8.429e+12,2.017e+11,1.654e+12,2.439e+12,8.015e+10,3.914e+11,4.822e+11,4.867e+10,1.047e+11,1,10461066,1085195.7,3.6293011,
es90,2.074e+13,1.523e+13,2.768e+11,2.954e+12,4.320e+12,1.128e+11,8.442e+11,8.652e+11,5.939e+10,1.790e+11,1,11297006,1836152.1,3.4071856,
es95,3.380e+13,2.392e+13,9.716e+11,4.553e+12,7.409e+12,3.841e+11,1.672e+12,4.606e+11,6.400e+10,2.292e+11,1,12790003,2675199.4,3.1134131,
fi00,4.743e+11,3.208e+11,2.664e+10,3.054e+10,9.374e+10,1.719e+10,1.299e+10,1.518e+10,1.169e+10,3.830e+09,1,2373000,199872.8,2.1513641,
fi04,9.492e+10,6.273e+10,7.164e+09,5.296e+09,1.818e+10,5.077e+09,1.971e+09,2.781e+09,3.569e+09,4.257e+08,1,2414999.5,39304.634,2.1369634,
fi07,1.076e+11,7.275e+10,6.335e+09,6.462e+09,2.199e+10,3.631e+09,2.731e+09,3.736e+09,2.190e+09,8.580e+08,1,2483499.5,43332.003,2.1027005,
fi10,1.171e+11,7.793e+10,6.780e+09,5.962e+09,2.376e+10,3.792e+09,2.019e+09,3.879e+09,2.468e+09,5.808e+08,1,2550999.5,45916.541,2.0755231,
fi13,1.300e+11,8.504e+10,7.232e+09,6.158e+09,2.687e+10,3.911e+09,2.098e+09,4.693e+09,2.197e+09,4.867e+08,1,2622499.5,49579.758,2.0480106,
fi87,2.572e+11,1.956e+11,4.896e+09,2.016e+10,5.268e+10,1.704e+09,7.050e+09,9.638e+09,6.721e+08,2.369e+09,1,2082257.5,123499.42,2.3434393,
fi91,3.613e+11,2.579e+11,1.071e+10,2.560e+10,7.097e+10,3.655e+09,9.418e+09,1.258e+10,1.250e+09,3.123e+09,1,2200190.3,164217.01,2.2706933,
fi95,3.837e+11,2.443e+11,1.154e+10,2.753e+10,7.491e+10,6.435e+09,1.082e+10,1.270e+10,3.942e+09,2.920e+09,1,2290100,167541.77,2.2064872,
fr00,4.426e+12,2.841e+12,2.025e+11,2.668e+11,9.152e+11,6.987e+10,1.525e+11,1.883e+11,2.723e+10,6.058e+10,1,24522572,180488.59,2.4243083,
fr05,7.573e+11,4.580e+11,3.665e+10,3.601e+10,1.463e+11,1.296e+10,1.854e+10,2.990e+10,4.219e+09,7.866e+09,1,24918384,30391.445,2.3877809,
fr10,9.955e+11,6.074e+11,3.571e+10,5.480e+10,2.159e+11,1.029e+10,3.764e+10,5.590e+10,2.360e+09,2.193e+10,1,28524272,34900.213,2.2364671,
fr78,1.192e+12,8.204e+11,2.071e+10,9.277e+10,0,0,0,0,0,0,1,18864648,64065.243,2.8124762,
fr84,2.115e+12,1.473e+12,5.772e+10,1.204e+11,3.475e+11,1.693e+10,4.571e+10,0,54211272,71266096,1,20325672,107422.66,2.6884248,
fr89,2.723e+12,1.832e+12,9.057e+10,2.019e+11,4.316e+11,3.247e+10,9.149e+10,0,1.515e+08,1.104e+09,1,21201890,133530.77,2.577987,
fr94,3.904e+12,2.471e+12,2.013e+11,3.180e+11,8.275e+11,6.367e+10,1.824e+11,1.902e+11,2.116e+10,7.845e+10,1,23155000,168614.04,2.4681306,
gr00,1.894e+13,1.344e+13,9.020e+11,4.382e+12,4.210e+12,2.943e+11,1.455e+12,5.994e+11,6.263e+10,4.089e+11,1,3800249.8,5003861.7,2.7844262,
gr04,8.202e+10,5.642e+10,3.761e+09,1.863e+10,1.799e+10,1.352e+09,7.935e+09,3.840e+09,2.878e+08,2.591e+09,1,3995523,20527.226,2.668731,
gr07,1.227e+11,8.589e+10,5.446e+09,2.621e+10,2.652e+10,2.052e+09,9.894e+09,0,0,0,1,4072175,30125.524,2.6666391,
gr10,1.203e+11,7.593e+10,4.584e+09,2.284e+10,2.146e+10,1.636e+09,8.458e+09,0,0,0,1,4154528,28987.488,2.6455982,
gr13,8.558e+10,5.251e+10,3.016e+09,1.693e+10,1.879e+10,9.183e+08,7.111e+09,0,26671130,0,1,4266745,20068.647,2.527761,
gr95,1.320e+13,9.084e+12,7.847e+11,3.347e+12,2.743e+12,2.709e+11,1.150e+12,2.434e+11,2.916e+10,2.045e+11,1,3780737.3,3525683.7,2.7717927,
hu05,7.236e+12,4.408e+12,5.041e+10,9.349e+11,1.445e+12,2.251e+10,5.994e+11,0,14736910,1.205e+08,1,3943282.5,1870627.4,2.5505714,
hu07,7.805e+12,4.726e+12,2.342e+10,6.748e+11,1.346e+12,7.718e+09,4.219e+11,0,9.115e+08,1.253e+09,1,4018048,2013090.4,2.4972892,
hu09,8.424e+12,4.916e+12,3.309e+10,7.842e+11,1.515e+12,2.280e+10,4.582e+11,0,78812968,0,1,4048910.5,2143074,2.4715705,
hu12,9.667e+12,5.843e+12,2.660e+10,7.876e+11,1.877e+12,9.414e+09,4.503e+11,0,31640630,5.053e+09,1,4077407,2421140.8,2.4423494,
hu15,1.272e+13,8.180e+12,5.184e+10,1.416e+12,2.653e+12,2.299e+10,9.466e+11,5.569e+11,3.528e+09,3.437e+11,1,4187258.8,3040656.2,2.363728,
hu91,1.083e+12,6.915e+11,6.215e+09,3.286e+10,2.283e+11,3.570e+09,1.279e+10,5.404e+10,3.329e+08,3.608e+09,1,3584710,302104.77,2.8964834,
hu94,1.644e+12,1.045e+12,1.153e+10,4.777e+10,3.976e+11,6.691e+09,2.551e+10,8.273e+10,1.699e+09,5.581e+09,1,3794899.8,445385.89,2.6394134,
hu99,3.757e+12,2.227e+12,7.997e+10,3.842e+11,7.440e+11,2.972e+10,1.838e+11,0,3.493e+08,1.017e+09,1,3898576.3,976469.6,2.6090577,
it00,8.769e+14,5.688e+14,5.967e+13,1.531e+14,1.695e+14,2.868e+13,6.704e+13,3.635e+13,1.043e+13,2.352e+13,1,20848180,42062512,2.7167313,
it04,5.331e+11,3.604e+11,1.583e+10,9.923e+10,1.199e+11,6.078e+09,5.474e+10,3.281e+10,2.108e+09,2.737e+10,1,22125650,24096.443,2.5856152,
it08,6.171e+11,3.978e+11,2.570e+10,9.711e+10,1.234e+11,1.053e+10,4.937e+10,2.693e+10,3.544e+09,1.487e+10,1,23412170,26357.767,2.4927039,
it10,6.181e+11,4.017e+11,1.740e+10,9.771e+10,1.241e+11,7.835e+09,4.886e+10,2.545e+10,2.586e+09,1.557e+10,1,23611100,26196.88,2.4943433,
it14,6.129e+11,3.866e+11,1.645e+10,8.634e+10,1.266e+11,5.715e+09,4.358e+10,2.793e+10,2.195e+09,1.872e+10,1,24572496,24953.058,2.4614227,
it86,4.319e+14,3.132e+14,1.914e+13,8.568e+13,8.477e+13,8.512e+12,3.539e+13,1.835e+13,2.447e+12,1.334e+13,1,20375790,21198286,3.0779626,
it87,4.448e+14,3.218e+14,2.650e+13,9.587e+13,9.527e+13,1.068e+13,4.309e+13,1.858e+13,2.669e+12,1.241e+13,1,18723584,23758296,3.0226309,
it89,5.575e+14,3.959e+14,3.631e+13,1.254e+14,1.084e+14,1.595e+13,4.942e+13,1.974e+13,6.332e+12,1.558e+13,1,19504302,28581825,2.9044466,
it91,6.329e+14,4.416e+14,4.052e+13,1.378e+14,1.169e+14,1.527e+13,5.118e+13,2.110e+13,6.041e+12,1.454e+13,1,19629840,32242146,2.890707,
it93,6.671e+14,4.405e+14,5.277e+13,1.243e+14,1.302e+14,2.481e+13,5.264e+13,2.496e+13,7.381e+12,1.896e+13,1,19674968,33904019,2.8950644,
it95,6.992e+14,4.426e+14,5.137e+13,1.061e+14,1.338e+14,2.076e+13,4.441e+13,2.797e+13,6.870e+12,1.592e+13,1,19646300,35589096,2.8789232,
it98,8.252e+14,5.168e+14,7.376e+13,1.415e+14,1.582e+14,3.323e+13,7.110e+13,3.569e+13,1.436e+13,2.940e+13,1,20509670,40235919,2.7606421,
mx00,1.711e+12,1.501e+12,2.709e+10,4.057e+11,5.920e+11,1.639e+10,1.861e+11,1.570e+11,6.873e+09,6.187e+10,1,23484752,72842.938,4.1987858,
mx02,1.971e+12,1.727e+12,3.628e+10,4.444e+11,6.376e+11,2.521e+10,1.855e+11,1.510e+11,1.159e+10,5.802e+10,1,24650168,79970.37,4.1509504,
mx04,2.328e+12,2.000e+12,6.100e+10,4.482e+11,7.318e+11,4.392e+10,1.979e+11,1.899e+11,3.362e+10,7.198e+10,1,25561448,91090.463,4.0389457,
mx08,0,0,6.972e+10,0,0,6.752e+09,0,0,3.556e+08,0,1,27874624,.,4.0094042,
mx10,0,0,6.657e+10,0,0,5.830e+09,0,0,89122728,0,1,29556772,.,3.880693,
mx12,0,0,7.129e+10,0,0,4.061e+09,0,0,1.736e+08,0,1,31559380,.,3.721545,
mx84,8.033e+12,7.130e+12,2.841e+11,2.284e+12,2.307e+12,1.555e+11,8.752e+11,5.386e+11,3.418e+10,3.350e+11,1,14988551,535949.5,5.1217046,
mx89,1.684e+14,1.506e+14,6.115e+12,4.764e+13,5.486e+13,4.538e+12,2.414e+13,1.749e+13,2.349e+12,1.256e+13,1,15955536,10553984,4.9858885,
mx92,3.667e+14,3.366e+14,5.600e+12,1.133e+14,1.363e+14,2.566e+12,6.133e+13,4.431e+13,2.434e+11,3.175e+13,1,17819414,20576158,4.7601948,
mx94,4.825e+11,4.380e+11,7.514e+09,1.155e+11,1.792e+11,4.129e+09,4.997e+10,5.358e+10,7.429e+08,2.023e+10,1,19440278,24817.139,4.6448112,
mx96,6.733e+11,5.987e+11,1.298e+10,1.705e+11,2.324e+11,8.082e+09,7.749e+10,6.915e+10,5.274e+09,3.693e+10,1,20467038,32895.802,4.5697861,
mx98,1.086e+12,9.609e+11,2.210e+10,2.968e+11,3.787e+11,1.541e+10,1.492e+11,1.099e+11,8.175e+09,6.458e+10,1,22163568,49008.451,4.3464303,
nl04,3.118e+11,2.260e+11,6.363e+09,2.136e+10,7.141e+10,2.227e+09,1.152e+10,1.739e+10,1.219e+09,5.574e+09,1,7090965,43975.618,2.2886577,
nl07,3.680e+11,2.630e+11,1.748e+10,2.478e+10,8.224e+10,1.000e+10,1.398e+10,1.688e+10,7.406e+09,3.984e+09,1,7242202,50808.406,2.2530277,
nl10,3.932e+11,2.797e+11,1.284e+10,2.781e+10,8.596e+10,5.168e+09,1.359e+10,1.705e+10,2.217e+09,4.833e+09,1,7443801,52828.616,2.2201397,
nl13,3.977e+11,2.763e+11,1.471e+10,3.126e+10,8.860e+10,7.091e+09,1.311e+10,1.699e+10,4.579e+09,2.724e+09,1,7590228,52398.337,2.1967459,
nl83,2.914e+11,1.962e+11,3.511e+09,2.924e+10,5.877e+10,1.182e+09,1.929e+10,1.284e+10,91867000,7.870e+09,1,5797087.5,50261.808,2.7060513,
nl87,2.954e+11,1.992e+11,3.042e+09,2.128e+10,6.111e+10,5.864e+08,1.362e+10,1.325e+10,23674172,5.404e+09,1,5607931.5,52677.123,2.4299412,
nl90,3.735e+11,2.581e+11,9.686e+09,1.333e+10,7.267e+10,2.762e+09,7.171e+09,1.436e+10,8.144e+08,2.677e+09,1,6333279,58967.346,2.3811669,
nl93,4.179e+11,2.941e+11,1.182e+10,1.837e+10,8.228e+10,3.188e+09,1.088e+10,1.506e+10,1.554e+09,5.174e+09,1,6527265.5,64029.134,2.3591695,
nl99,4.470e+11,3.253e+11,1.063e+10,1.894e+10,0,29850092,81074984,0,1653346.9,0,1,6725642,76241.65,2.3521791,
pl04,0,0,1.122e+09,0,0,1.050e+08,0,0,7350540,0,1,13336976,.,2.8330417,
pl07,0,0,1.907e+09,0,0,1.543e+08,0,0,8092835,0,1,13332283,.,2.8283093,
pl10,0,0,2.001e+09,0,0,1.204e+08,0,0,12448768,0,1,13332320,.,2.8297024,
pl13,0,3.724e+11,2.829e+09,5.098e+10,1.227e+11,1.458e+09,2.278e+10,2.599e+10,7.004e+08,6.989e+09,1,13571696,.,2.8074212,
pl16,0,4.149e+11,2.513e+09,5.659e+10,1.314e+11,1.280e+09,2.584e+10,2.630e+10,4.341e+08,7.955e+09,1,13571725,.,2.800199,
pl86,5.844e+12,4.752e+12,0,1.353e+12,4.131e+11,0,1.174e+11,4.070e+10,0,9.409e+09,1,11674236,500605.95,3.212568,
pl92,6.653e+14,3.899e+14,5.843e+12,4.605e+13,1.076e+14,2.925e+12,1.738e+13,1.930e+13,1.459e+12,7.487e+12,1,12202986,54515725,3.1443696,
pl95,1.487e+11,7.167e+10,3.396e+08,1.561e+10,2.807e+10,1.487e+08,1.129e+10,7.517e+09,79884088,4.668e+09,.91515589,12624367,11775.23,3.0576296,
pl99,0,0,6.575e+08,0,0,65203544,0,0,16079396,0,.95446265,12491808,.,3.0952716,
