ccyy,tot_inc,tot_L,tot_K,tot_S,tot_IR,tot_intdiv,tot_rent,b50_L,b50_K,b50_S,b50_IR,b50_intdiv,b50_rent,m40_L,m40_K,m40_S,m40_IR,m40_intdiv,m40_rent,t10_L,t10_K,t10_S,t10_IR,t10_intdiv,t10_rent,t1_L,t1_K,t1_S,t1_IR,t1_intdiv,t1_rent,totw,mean_toti,waven
cz07,1.212e+12,1.200e+12,1.241e+10,2.304e+11,2.651e+10,3.308e+09,8.827e+09,1.369e+11,1.870e+09,1.935e+10,1.090e+10,6.784e+08,1.091e+09,6.973e+11,3.048e+09,9.981e+10,1.164e+10,9.884e+08,1.949e+09,3.657e+11,7.490e+09,1.112e+11,3.971e+09,1.641e+09,5.787e+09,7.793e+10,4.147e+09,4.681e+10,6.246e+08,8.977e+08,3.248e+09,4081852.3,297007.94,7
cz10,1.336e+12,1.324e+12,1.183e+10,2.418e+11,1.116e+10,3.082e+09,8.117e+09,1.534e+11,2.189e+09,2.795e+10,4.685e+09,5.485e+08,1.475e+09,7.735e+11,4.340e+09,1.170e+11,4.738e+09,9.174e+08,3.234e+09,3.970e+11,5.302e+09,9.688e+10,1.740e+09,1.616e+09,3.408e+09,7.928e+10,1.997e+09,3.043e+10,3.080e+08,6.840e+08,1.225e+09,4180620.3,319493.66,8
cz13,1.402e+12,1.384e+12,1.756e+10,2.451e+11,1.957e+10,3.798e+09,1.325e+10,1.459e+11,2.474e+09,2.754e+10,7.777e+09,5.108e+08,1.864e+09,8.027e+11,5.894e+09,1.122e+11,8.522e+09,6.601e+08,5.032e+09,4.353e+11,9.194e+09,1.053e+11,3.272e+09,2.627e+09,6.352e+09,9.584e+10,3.327e+09,3.313e+10,4.412e+08,2.020e+09,1.253e+09,4304496.5,325591.66,9
cz92,2.716e+11,2.704e+11,1.273e+09,2.888e+10,0,0,0,3.752e+10,2.253e+08,2.017e+09,0,0,0,1.600e+11,2.542e+08,1.180e+10,0,0,0,7.284e+10,7.931e+08,1.506e+10,0,0,0,1.527e+10,3.692e+08,6.299e+09,0,0,0,3836040.3,70809.576,3
cz96,6.139e+11,6.079e+11,5.998e+09,8.930e+10,0,0,0,7.997e+10,8.979e+08,7.485e+09,0,0,0,3.488e+11,1.820e+09,3.584e+10,0,0,0,1.792e+11,3.280e+09,4.597e+10,0,0,0,3.995e+10,1.417e+09,2.075e+10,0,0,0,3822366,160615.2,4
de00,1.106e+12,1.051e+12,5.556e+10,1.373e+11,5.380e+10,3.387e+10,2.169e+10,9.643e+10,1.431e+10,8.106e+09,2.604e+10,1.076e+10,3.544e+09,6.321e+11,1.859e+10,5.545e+10,1.932e+10,1.195e+10,6.645e+09,3.221e+11,2.267e+10,7.370e+10,8.444e+09,1.116e+10,1.150e+10,6.345e+10,9.719e+09,3.159e+10,1.588e+09,4.174e+09,5.546e+09,38953728,28397.829,5
de01,1.127e+12,1.063e+12,6.356e+10,1.384e+11,6.024e+10,3.883e+10,2.473e+10,9.087e+10,1.334e+10,6.993e+09,2.956e+10,1.094e+10,2.401e+09,6.316e+11,1.866e+10,4.711e+10,2.045e+10,1.141e+10,7.247e+09,3.408e+11,3.156e+10,8.426e+10,1.022e+10,1.648e+10,1.508e+10,7.287e+10,1.633e+10,3.858e+10,2.018e+09,8.573e+09,7.760e+09,39197676,28746.38,5
de02,1.146e+12,1.084e+12,6.167e+10,1.354e+11,5.838e+10,3.571e+10,2.596e+10,8.440e+10,1.407e+10,5.693e+09,2.844e+10,1.155e+10,2.523e+09,6.537e+11,1.991e+10,5.018e+10,1.908e+10,1.227e+10,7.640e+09,3.460e+11,2.769e+10,7.948e+10,1.086e+10,1.189e+10,1.580e+10,7.128e+10,1.335e+10,3.451e+10,1.900e+09,5.593e+09,7.758e+09,39415532,29069.984,5
de03,1.148e+12,1.078e+12,7.070e+10,1.324e+11,6.057e+10,4.648e+10,2.422e+10,7.914e+10,1.186e+10,6.542e+09,2.986e+10,1.067e+10,1.190e+09,6.519e+11,1.820e+10,5.179e+10,2.099e+10,1.061e+10,7.590e+09,3.467e+11,4.063e+10,7.409e+10,9.723e+09,2.519e+10,1.544e+10,7.134e+10,2.686e+10,3.004e+10,1.814e+09,1.930e+10,7.563e+09,39604728,28997.355,6
de04,1.150e+12,1.077e+12,7.301e+10,1.258e+11,5.781e+10,4.323e+10,2.977e+10,7.730e+10,1.512e+10,7.242e+09,2.809e+10,1.034e+10,4.779e+09,6.540e+11,1.952e+10,4.849e+10,1.992e+10,1.159e+10,7.929e+09,3.453e+11,3.836e+10,7.010e+10,9.805e+09,2.130e+10,1.707e+10,6.982e+10,2.311e+10,2.698e+10,1.848e+09,1.447e+10,8.642e+09,39672688,28976.463,6
de05,1.158e+12,1.086e+12,7.224e+10,1.431e+11,6.010e+10,3.945e+10,3.279e+10,6.659e+10,1.510e+10,6.207e+09,2.926e+10,9.912e+09,5.190e+09,6.497e+11,2.008e+10,4.820e+10,2.127e+10,1.166e+10,8.418e+09,3.698e+11,3.706e+10,8.873e+10,9.571e+09,1.787e+10,1.919e+10,8.262e+10,2.231e+10,4.502e+10,1.945e+09,1.081e+10,1.150e+10,40208992,28806.82,6
de06,1.179e+12,1.105e+12,7.381e+10,1.399e+11,6.408e+10,3.965e+10,3.416e+10,6.754e+10,1.537e+10,6.312e+09,3.064e+10,1.093e+10,4.440e+09,6.654e+11,2.436e+10,5.198e+10,2.319e+10,1.335e+10,1.100e+10,3.722e+11,3.409e+10,8.158e+10,1.025e+10,1.537e+10,1.872e+10,7.687e+10,2.021e+10,3.768e+10,1.892e+09,8.608e+09,1.161e+10,40182524,29340.99,7
de07,1.221e+12,1.135e+12,8.670e+10,1.343e+11,6.609e+10,5.077e+10,3.592e+10,6.806e+10,1.644e+10,5.209e+09,3.223e+10,1.283e+10,3.604e+09,6.817e+11,2.267e+10,4.764e+10,2.347e+10,1.286e+10,9.808e+09,3.848e+11,4.758e+10,8.141e+10,1.039e+10,2.508e+10,2.251e+10,7.773e+10,3.180e+10,3.575e+10,1.608e+09,1.677e+10,1.503e+10,40554568,30112.991,7
de08,1.257e+12,1.182e+12,7.547e+10,1.467e+11,6.930e+10,3.846e+10,3.701e+10,7.438e+10,1.887e+10,7.961e+09,3.445e+10,1.294e+10,5.932e+09,7.070e+11,2.142e+10,4.833e+10,2.453e+10,1.122e+10,1.020e+10,4.006e+11,3.518e+10,9.043e+10,1.032e+10,1.430e+10,2.088e+10,8.845e+10,2.015e+10,4.731e+10,1.894e+09,7.971e+09,1.218e+10,40647152,30934.33,7
de09,1.233e+12,1.164e+12,6.936e+10,1.334e+11,7.463e+10,3.323e+10,3.614e+10,6.745e+10,1.712e+10,5.497e+09,3.707e+10,1.182e+10,5.300e+09,6.989e+11,2.362e+10,5.370e+10,2.658e+10,1.188e+10,1.174e+10,3.972e+11,2.862e+10,7.418e+10,1.098e+10,9.530e+09,1.909e+10,8.018e+10,1.578e+10,3.448e+10,1.673e+09,3.618e+09,1.216e+10,40765748,30243.773,8
de10,1.234e+12,1.174e+12,5.991e+10,1.351e+11,6.793e+10,2.953e+10,3.038e+10,7.024e+10,1.455e+10,7.645e+09,3.318e+10,1.011e+10,4.441e+09,7.037e+11,2.243e+10,5.708e+10,2.394e+10,1.091e+10,1.152e+10,3.998e+11,2.293e+10,7.040e+10,1.081e+10,8.508e+09,1.442e+10,8.207e+10,1.201e+10,2.935e+10,1.726e+09,3.653e+09,8.357e+09,39863596,30947.132,8
de11,1.287e+12,1.226e+12,6.130e+10,1.367e+11,8.491e+10,3.148e+10,2.983e+10,7.724e+10,1.326e+10,8.261e+09,4.040e+10,1.015e+10,3.111e+09,7.287e+11,2.223e+10,5.644e+10,3.282e+10,1.121e+10,1.102e+10,4.196e+11,2.581e+10,7.198e+10,1.169e+10,1.011e+10,1.569e+10,8.914e+10,1.425e+10,2.655e+10,1.751e+09,4.050e+09,1.020e+10,40011220,32162.277,8
de12,1.289e+12,1.230e+12,5.904e+10,1.366e+11,7.607e+10,2.663e+10,3.241e+10,7.453e+10,1.303e+10,7.855e+09,3.657e+10,9.413e+09,3.620e+09,7.304e+11,2.105e+10,5.464e+10,2.621e+10,9.147e+09,1.190e+10,4.252e+11,2.495e+10,7.411e+10,1.329e+10,8.070e+09,1.688e+10,8.755e+10,1.353e+10,3.260e+10,1.605e+09,2.858e+09,1.067e+10,40280376,32005.767,9
de13,1.329e+12,1.265e+12,6.403e+10,1.444e+11,6.867e+10,2.723e+10,3.680e+10,7.186e+10,1.237e+10,8.369e+09,3.027e+10,8.529e+09,3.838e+09,7.511e+11,2.102e+10,5.829e+10,2.483e+10,8.675e+09,1.235e+10,4.416e+11,3.063e+10,7.775e+10,1.358e+10,1.003e+10,2.061e+10,9.416e+10,1.966e+10,3.619e+10,2.451e+09,5.113e+09,1.455e+10,40617052,32709.486,9
de14,1.345e+12,1.281e+12,6.354e+10,1.325e+11,7.508e+10,2.915e+10,3.439e+10,7.363e+10,1.069e+10,7.385e+09,3.443e+10,7.709e+09,2.979e+09,7.721e+11,2.052e+10,5.837e+10,2.619e+10,8.041e+09,1.248e+10,4.357e+11,3.234e+10,6.673e+10,1.446e+10,1.340e+10,1.894e+10,8.177e+10,1.950e+10,2.680e+10,2.380e+09,7.546e+09,1.195e+10,41207320,32637.542,9
de15,1.414e+12,1.342e+12,7.218e+10,1.530e+11,8.638e+10,2.739e+10,4.479e+10,7.326e+10,1.292e+10,6.439e+09,4.217e+10,7.547e+09,5.371e+09,7.966e+11,2.454e+10,5.839e+10,3.016e+10,7.968e+09,1.658e+10,4.723e+11,3.471e+10,8.813e+10,1.405e+10,1.187e+10,2.284e+10,1.086e+11,2.095e+10,4.422e+10,2.668e+09,6.700e+09,1.425e+10,41542916,34044.753,10
de73,2.875e+11,2.592e+11,2.826e+10,4.850e+10,0,0,0,3.858e+10,9.168e+09,4.884e+09,0,0,0,1.510e+11,1.183e+10,1.571e+10,0,0,0,6.961e+10,7.267e+09,2.791e+10,0,0,0,1.570e+10,1.835e+09,1.322e+10,0,0,0,23857058,12049.838,0
de78,3.976e+11,3.558e+11,4.175e+10,6.628e+10,0,0,0,3.733e+10,1.276e+10,5.120e+09,0,0,0,2.131e+11,1.809e+10,1.976e+10,0,0,0,1.054e+11,1.090e+10,4.140e+10,0,0,0,2.595e+10,2.768e+09,2.139e+10,0,0,0,24985688,15913.01,0
